0.00,31.60
1.00,32.95
2.00,34.30
3.00,35.65
4.00,37.00
5.00,38.35
6.00,39.70
7.00,41.05
8.00,42.40
9.00,43.75
10.00,45.10
11.00,46.45
12.00,47.80
13.00,49.15
14.00,50.50
15.00,51.85
16.00,53.20
17.00,54.55
18.00,55.90
19.00,57.25
20.00,58.60
21.00,59.95
22.00,61.30
23.00,62.65
24.00,64.00
25.00,65.35
26.00,66.70
27.00,68.05
28.00,69.40
29.00,70.75
30.00,72.10
31.00,73.45
32.00,74.80
33.00,76.15
34.00,77.50
35.00,78.85
36.00,80.20
37.00,81.55
38.00,82.90
39.00,84.25
40.00,85.60
41.00,86.95
42.00,88.30
43.00,89.65
44.00,91.00
45.00,92.35
46.00,93.70
47.00,95.05
48.00,96.40
49.00,97.75
50.00,99.10
51.00,100.45
52.00,101.80
53.00,103.15
54.00,104.50
55.00,105.85
56.00,107.20
57.00,108.55
58.00,109.90
59.00,111.25
60.00,112.60
61.00,113.95
62.00,115.30
63.00,116.65
64.00,118.00
65.00,119.35
66.00,120.70
67.00,122.05
68.00,123.40
69.00,124.75
70.00,126.10
71.00,127.45
72.00,128.80
73.00,130.15
74.00,131.50
75.00,132.85
76.00,134.20
77.00,135.55
78.00,136.90
79.00,138.25
80.00,139.60
81.00,140.95
82.00,142.30
83.00,143.65
84.00,145.00
85.00,146.35
86.00,147.70
87.00,149.05
88.00,150.40
89.00,151.75
90.00,153.10
91.00,154.45
92.00,155.80
93.00,157.15
94.00,158.50
95.00,159.85
96.00,161.20
97.00,162.55
98.00,163.90
99.00,165.25
